t,o,h,l,c
1765375200,208.692,208.764,208.529,208.617
1765378800,208.618,208.62,208.345,208.446
1765382400,208.445,208.598,208.338,208.528
1765386000,208.526,208.62,208.478,208.602
1765389600,208.602,208.672,208.535,208.604
1765393200,208.586,208.887,208.408,208.842
1765396800,208.838,208.874,208.552,208.714
1765400400,208.716,208.904,208.704,208.783
1765404000,208.664,208.787,208.644,208.764
1765407600,208.774,208.816,208.379,208.534
1765411200,208.533,208.558,208.318,208.43
1765414800,208.431,208.481,208.257,208.385
1765418400,208.385,208.406,208.029,208.279
1765422000,208.28,208.3,208.078,208.118
1765425600,208.119,208.361,208.032,208.354
1765429200,208.358,208.556,208.346,208.528
1765432800,208.53,208.64,208.473,208.516
1765436400,208.518,208.65,208.48,208.622
1765440000,208.622,208.634,208.336,208.372
1765443600,208.372,208.461,208.216,208.428
1765447200,208.43,208.602,208.336,208.521
1765450800,208.525,208.589,208.394,208.514
1765454400,208.514,208.52,208.233,208.314
1765458000,208.316,208.372,208.106,208.206
1765461600,208.204,208.232,207.934,207.952
1765465200,207.95,208.476,207.912,208.464
1765468800,208.462,208.476,208.29,208.301
1765472400,208.3,208.466,208.214,208.348
1765476000,208.346,208.49,208.322,208.398
1765479600,208.394,208.476,208.29,208.346
1765483200,208.348,208.388,208.28,208.388
1765486800,208.398,208.44,208.236,208.25
1765490400,208.339,208.372,208.284,208.312
1765494000,208.3,208.373,208.195,208.274
1765497600,208.262,208.577,208.226,208.53
1765501200,208.529,208.599,208.384,208.476
1765504800,208.477,208.562,208.462,208.466
1765508400,208.467,208.55,208.426,208.516
1765512000,208.515,208.596,208.509,208.524
1765515600,208.522,208.627,208.518,208.625
1765519200,208.628,208.728,208.508,208.508
1765522800,208.496,208.496,208.231,208.344
1765526400,208.334,208.542,208.261,208.49
1765530000,208.49,208.664,208.393,208.624
1765533600,208.625,208.686,208.492,208.553
1765537200,208.552,208.618,208.486,208.539
1765540800,208.539,208.713,208.386,208.676
1765544400,208.676,208.747,208.512,208.626
1765548000,208.628,208.671,208.429,208.49
1765551600,208.488,208.54,208.157,208.182
1765555200,208.183,208.21,207.887,207.99
1765558800,207.987,208.366,207.981,208.328
1765562400,208.328,208.406,208.151,208.154
1765566000,208.147,208.388,208.134,208.378
1765569600,208.378,208.432,208.28,208.356
1765573200,208.356,208.405,208.26,208.378
1765749600,208.526,208.589,208.277,208.364
1765753200,208.364,208.39,208.229,208.357
1765756800,208.358,208.448,208.284,208.367
1765760400,208.368,208.369,208.098,208.104
1765764000,208.116,208.145,207.744,207.788
1765767600,207.788,207.798,207.567,207.6
1765771200,207.599,207.6,207.322,207.392
1765774800,207.392,207.392,207.16,207.19
1765778400,207.19,207.366,207.095,207.288
1765782000,207.305,207.502,207.292,207.492
1765785600,207.494,207.538,207.326,207.45
1765789200,207.452,207.498,207.341,207.466
1765792800,207.468,207.574,207.422,207.505
1765796400,207.504,207.578,207.301,207.345
1765800000,207.342,207.662,207.325,207.65
1765803600,207.656,207.741,207.529,207.717
1765807200,207.726,207.746,207.477,207.532
1765810800,207.538,207.83,207.366,207.827
1765814400,207.83,207.89,207.697,207.78
1765818000,207.778,207.804,207.564,207.616
1765821600,207.616,207.7,207.565,207.654
1765825200,207.652,207.686,207.546,207.608
1765828800,207.608,207.652,207.576,207.637
1765832400,207.634,207.664,207.55,207.645
1765836000,207.562,207.646,207.521,207.62
1765839600,207.609,207.638,207.38,207.424
1765843200,207.424,207.432,207.082,207.246
1765846800,207.248,207.325,206.993,207.024
1765850400,207.024,207.117,206.904,206.934
1765854000,206.933,207.07,206.849,207.022
1765857600,207.016,207.056,206.908,206.956
1765861200,206.956,206.962,206.777,206.904
1765864800,206.907,207.017,206.858,206.978
1765868400,206.983,207.208,206.976,207.166
1765872000,207.166,207.442,207.149,207.418
1765875600,207.418,207.742,207.37,207.645
1765879200,207.638,207.942,207.524,207.884
1765882800,207.885,207.944,207.748,207.936
1765886400,207.934,207.965,207.67,207.745
1765890000,207.737,207.964,207.622,207.719
1765893600,207.72,208.008,207.63,207.832
1765897200,207.832,207.869,207.196,207.644
1765900800,207.642,207.936,207.641,207.856
1765904400,207.858,207.965,207.629,207.642
1765908000,207.64,207.752,207.541,207.748
1765911600,207.75,207.754,207.524,207.654
1765915200,207.654,207.884,207.594,207.816
1765918800,207.818,207.848,207.634,207.656
1765922400,207.672,207.799,207.644,207.702
1765926000,207.688,207.83,207.662,207.791
1765929600,207.79,207.888,207.442,207.464
1765933200,207.465,207.673,207.414,207.646
1765936800,207.646,207.87,207.646,207.851
1765940400,207.85,207.866,207.668,207.704
1765944000,207.705,207.842,207.664,207.802
1765947600,207.802,207.81,207.548,207.647
1765951200,207.65,207.998,207.634,207.84
1765954800,207.836,207.848,207.096,207.173
1765958400,207.18,207.263,207.056,207.26
1765962000,207.255,207.358,207.206,207.258
1765965600,207.262,207.32,207.147,207.312
1765969200,207.312,207.35,207.238,207.302
1765972800,207.302,207.516,207.271,207.497
1765976400,207.497,207.67,207.458,207.608
1765980000,207.606,207.816,207.584,207.774
1765983600,207.774,208.264,207.69,208.234
1765987200,208.232,208.39,208.151,208.343
1765990800,208.343,208.378,208.181,208.216
1765994400,208.215,208.299,208.163,208.193
1765998000,208.192,208.266,208.14,208.205
1766001600,208.204,208.41,208.173,208.306
1766005200,208.306,208.351,208.22,208.235
1766008800,208.195,208.241,208.136,208.19
1766012400,208.174,208.194,207.924,207.946
1766016000,207.947,208.02,207.866,207.974
1766019600,207.974,208.205,207.924,208.181
1766023200,208.182,208.267,208.118,208.265
1766026800,208.266,208.278,208.114,208.177
1766030400,208.178,208.216,208.102,208.2
1766034000,208.198,208.424,208.185,208.316
1766037600,208.316,208.424,208.262,208.406
1766041200,208.402,208.558,208.288,208.411
1766044800,208.412,208.454,208.134,208.211
1766048400,208.21,208.216,207.976,208.152
1766052000,208.148,208.176,208.086,208.108
1766055600,208.11,208.153,207.983,208.034
1766059200,208.032,208.758,207.922,208.73
1766062800,208.733,208.998,208.632,208.928
1766066400,208.928,209.016,208.348,208.602
1766070000,208.601,208.62,208.308,208.322
1766073600,208.322,208.444,208.142,208.198
1766077200,208.2,208.308,208.104,208.268
1766080800,208.267,208.38,208.164,208.258
1766084400,208.262,208.326,208.142,208.181
1766088000,208.18,208.283,208.174,208.182
1766091600,208.182,208.254,208.154,208.17
1766095200,208.106,208.215,208.046,208.165
1766098800,208.165,208.31,208.122,208.224
1766102400,208.226,208.498,208.214,208.47
1766106000,208.471,208.504,208.34,208.427
1766109600,208.426,208.521,208.356,208.496
1766113200,208.496,208.862,208.214,208.529
1766116800,208.528,208.71,208.366,208.7
1766120400,208.702,208.726,208.492,208.656
1766124000,208.658,209.186,208.534,208.79
