t,o,h,l,c
1765303200,1.32976,1.33034,1.32912,1.33012
1765306800,1.33013,1.33046,1.32958,1.3302
1765310400,1.3302,1.3307,1.32976,1.33002
1765314000,1.33002,1.33051,1.32978,1.32985
1765317600,1.32976,1.33015,1.32962,1.33005
1765321200,1.33004,1.33041,1.32986,1.3303
1765324800,1.3303,1.3305,1.32988,1.33039
1765328400,1.3304,1.3304,1.32961,1.32988
1765332000,1.32985,1.33053,1.32978,1.32994
1765335600,1.32994,1.3305,1.32984,1.33028
1765339200,1.33028,1.33082,1.33028,1.33051
1765342800,1.3305,1.331,1.33041,1.33074
1765346400,1.33074,1.3314,1.33058,1.33136
1765350000,1.33138,1.3326,1.3313,1.3324
1765353600,1.3324,1.33272,1.33166,1.33186
1765357200,1.33187,1.33188,1.33076,1.33132
1765360800,1.33131,1.33158,1.33066,1.33132
1765364400,1.33132,1.33166,1.33014,1.33104
1765368000,1.33105,1.33176,1.33072,1.33143
1765371600,1.33142,1.33318,1.33048,1.33304
1765375200,1.33306,1.33344,1.33231,1.333
1765378800,1.33302,1.33368,1.3315,1.33208
1765382400,1.33208,1.33392,1.33153,1.33382
1765386000,1.33382,1.33478,1.33322,1.33457
1765389600,1.33458,1.33466,1.33299,1.33352
1765393200,1.33354,1.33696,1.33269,1.33648
1765396800,1.33648,1.3389,1.33598,1.3385
1765400400,1.3385,1.33872,1.33799,1.33814
1765404000,1.33796,1.3383,1.3379,1.33802
1765407600,1.33802,1.33917,1.33796,1.33886
1765411200,1.33886,1.33922,1.33764,1.33777
1765414800,1.33779,1.33876,1.33779,1.33822
1765418400,1.33822,1.33874,1.33698,1.33706
1765422000,1.33706,1.33738,1.33664,1.33672
1765425600,1.33672,1.33696,1.33629,1.33691
1765429200,1.33688,1.33704,1.33614,1.33618
1765432800,1.3362,1.33704,1.33596,1.33694
1765436400,1.33694,1.33793,1.33657,1.33701
1765440000,1.337,1.3379,1.3366,1.33668
1765443600,1.33667,1.33734,1.33549,1.3372
1765447200,1.3372,1.33812,1.3368,1.33782
1765450800,1.33782,1.33876,1.33754,1.3386
1765454400,1.33858,1.33938,1.33787,1.33892
1765458000,1.33892,1.34154,1.33847,1.34078
1765461600,1.34076,1.34268,1.3407,1.34176
1765465200,1.34178,1.34356,1.34118,1.34346
1765468800,1.34346,1.34384,1.34161,1.34256
1765472400,1.34254,1.34298,1.34168,1.34212
1765476000,1.34212,1.34247,1.34127,1.34135
1765479600,1.34136,1.34136,1.33897,1.33904
1765483200,1.33905,1.33948,1.33822,1.33939
1765486800,1.33939,1.3396,1.3386,1.33866
1765490400,1.3391,1.3394,1.33884,1.33918
1765494000,1.33919,1.33939,1.33892,1.33935
1765497600,1.33934,1.33964,1.33924,1.33934
1765501200,1.33934,1.34,1.33898,1.33922
1765504800,1.33922,1.3395,1.33903,1.33912
1765508400,1.33912,1.33938,1.33894,1.33909
1765512000,1.33908,1.3394,1.33886,1.33886
1765515600,1.33886,1.33969,1.33884,1.33955
1765519200,1.33956,1.33992,1.33908,1.33954
1765522800,1.33946,1.33946,1.33745,1.33846
1765526400,1.33846,1.33886,1.33772,1.33784
1765530000,1.33782,1.33859,1.33736,1.33828
1765533600,1.33829,1.33834,1.3369,1.33764
1765537200,1.33762,1.33782,1.33677,1.33752
1765540800,1.33753,1.33772,1.33645,1.33734
1765544400,1.33734,1.33836,1.33682,1.33698
1765548000,1.33696,1.33784,1.33632,1.33727
1765551600,1.33726,1.33784,1.33524,1.3355
1765555200,1.33552,1.33598,1.33424,1.33486
1765558800,1.33486,1.33738,1.3348,1.33731
1765562400,1.33732,1.33771,1.33608,1.33612
1765566000,1.33612,1.3367,1.33566,1.3366
1765569600,1.33659,1.33749,1.33648,1.33664
1765573200,1.33666,1.33727,1.33642,1.33718
1765749600,1.33778,1.33782,1.33615,1.3372
