t,o,h,l,c
1765375200,156.55,156.63,156.44,156.5
1765378800,156.498,156.535,156.353,156.48
1765382400,156.482,156.492,156.326,156.339
1765386000,156.337,156.398,156.248,156.308
1765389600,156.309,156.478,156.298,156.424
1765393200,156.424,156.684,156.104,156.263
1765396800,156.262,156.312,155.795,155.935
1765400400,155.933,156.102,155.93,156.023
1765404000,155.959,156.038,155.94,156.027
1765407600,156.026,156.032,155.632,155.752
1765411200,155.752,155.888,155.57,155.806
1765414800,155.805,155.825,155.57,155.719
1765418400,155.718,155.778,155.487,155.776
1765422000,155.776,155.79,155.636,155.698
1765425600,155.701,155.86,155.618,155.847
1765429200,155.846,156.073,155.838,156.066
1765432800,156.067,156.164,155.943,155.966
1765436400,155.966,156.056,155.869,156.032
1765440000,156.034,156.07,155.784,155.886
1765443600,155.885,156.034,155.848,155.866
1765447200,155.866,155.951,155.802,155.868
1765450800,155.868,155.884,155.758,155.764
1765454400,155.763,155.819,155.52,155.588
1765458000,155.588,155.626,155.23,155.286
1765461600,155.287,155.298,154.945,154.982
1765465200,154.982,155.179,154.955,155.17
1765468800,155.17,155.291,155.111,155.154
1765472400,155.154,155.294,155.073,155.242
1765476000,155.242,155.415,155.214,155.362
1765479600,155.362,155.602,155.362,155.596
1765483200,155.595,155.674,155.507,155.594
1765486800,155.595,155.626,155.552,155.572
1765490400,155.582,155.587,155.524,155.54
1765494000,155.536,155.621,155.448,155.506
1765497600,155.507,155.73,155.46,155.695
1765501200,155.695,155.771,155.548,155.668
1765504800,155.668,155.748,155.654,155.678
1765508400,155.677,155.728,155.632,155.713
1765512000,155.712,155.766,155.688,155.746
1765515600,155.746,155.773,155.674,155.743
1765519200,155.744,155.827,155.651,155.653
1765522800,155.654,155.729,155.542,155.651
1765526400,155.652,155.845,155.62,155.838
1765530000,155.84,155.911,155.756,155.888
1765533600,155.888,155.966,155.85,155.917
1765537200,155.918,155.996,155.91,155.913
1765540800,155.914,156.13,155.774,156.036
1765544400,156.036,156.064,155.902,156.046
1765548000,156.047,156.102,155.844,155.908
1765551600,155.908,156.063,155.81,155.885
1765555200,155.886,155.886,155.676,155.815
1765558800,155.814,155.906,155.754,155.782
1765562400,155.782,155.818,155.719,155.784
1765566000,155.784,155.939,155.784,155.902
1765569600,155.902,155.912,155.774,155.88
1765573200,155.881,155.893,155.798,155.838
1765749600,155.877,155.925,155.764,155.812
1765753200,155.812,155.898,155.764,155.869
1765756800,155.87,155.986,155.866,155.897
1765760400,155.898,155.898,155.605,155.614
1765764000,155.617,155.651,155.36,155.434
1765767600,155.435,155.478,155.304,155.421
1765771200,155.42,155.422,155.184,155.256
1765774800,155.256,155.256,155.031,155.034
1765778400,155.035,155.16,154.95,155.094
1765782000,155.094,155.295,155.074,155.263
1765785600,155.264,155.287,155.104,155.188
1765789200,155.188,155.202,154.938,154.966
1765792800,154.968,155.154,154.962,155.084
1765796400,155.086,155.103,154.854,154.925
1765800000,154.926,155.096,154.889,155.079
1765803600,155.081,155.161,154.969,155.161
1765807200,155.163,155.226,154.852,154.914
1765810800,154.912,155.158,154.837,155.156
1765814400,155.156,155.33,155.148,155.292
1765818000,155.291,155.368,155.256,155.31
1765821600,155.309,155.388,155.28,155.358
1765825200,155.357,155.4,155.22,155.244
1765828800,155.244,155.27,155.22,155.253
1765832400,155.254,155.262,155.193,155.206
1765836000,155.217,155.25,155.195,155.226
1765839600,155.229,155.242,154.981,155.036
1765843200,155.037,155.104,154.736,155.006
1765846800,155.008,155.122,154.85,154.864
1765850400,154.862,154.925,154.765,154.783
1765854000,154.784,154.912,154.704,154.893
1765857600,154.892,154.918,154.772,154.819
1765861200,154.818,154.858,154.684,154.844
1765864800,154.845,154.948,154.82,154.856
1765868400,154.856,154.979,154.838,154.886
1765872000,154.884,154.942,154.798,154.866
1765875600,154.865,154.899,154.772,154.838
1765879200,154.838,154.905,154.776,154.872
1765882800,154.872,154.904,154.791,154.818
1765886400,154.817,154.858,154.602,154.611
1765890000,154.609,154.873,154.396,154.718
1765893600,154.716,154.998,154.599,154.603
1765897200,154.602,154.782,154.465,154.778
1765900800,154.779,154.908,154.752,154.81
1765904400,154.808,154.841,154.57,154.681
1765908000,154.682,154.806,154.674,154.748
1765911600,154.75,154.926,154.606,154.67
1765915200,154.669,154.804,154.57,154.804
1765918800,154.803,154.838,154.706,154.721
1765922400,154.711,154.805,154.708,154.74
1765926000,154.744,154.814,154.71,154.774
1765929600,154.772,154.874,154.567,154.584
1765933200,154.584,154.708,154.513,154.676
1765936800,154.677,155.028,154.676,155.012
1765940400,155.011,155.03,154.865,154.889
1765944000,154.89,155.152,154.876,155.136
1765947600,155.136,155.175,155.071,155.152
1765951200,155.152,155.447,155.128,155.37
1765954800,155.369,155.57,155.358,155.502
1765958400,155.504,155.599,155.429,155.518
1765962000,155.518,155.56,155.459,155.532
1765965600,155.532,155.551,155.442,155.464
1765969200,155.466,155.599,155.456,155.545
1765972800,155.545,155.576,155.454,155.489
1765976400,155.488,155.64,155.385,155.438
1765980000,155.437,155.634,155.35,155.488
1765983600,155.488,155.546,155.353,155.404
1765987200,155.403,155.601,155.385,155.598
1765990800,155.599,155.611,155.53,155.534
1765994400,155.535,155.676,155.496,155.644
1765998000,155.642,155.692,155.594,155.646
1766001600,155.646,155.752,155.622,155.703
1766005200,155.706,155.748,155.668,155.693
1766008800,155.648,155.661,155.586,155.618
1766012400,155.612,155.648,155.474,155.489
1766016000,155.488,155.586,155.426,155.482
1766019600,155.482,155.774,155.46,155.772
1766023200,155.771,155.808,155.663,155.782
1766026800,155.783,155.796,155.709,155.764
1766030400,155.766,155.784,155.702,155.736
1766034000,155.736,155.888,155.708,155.81
1766037600,155.806,155.91,155.77,155.909
1766041200,155.908,155.956,155.814,155.926
1766044800,155.929,155.946,155.801,155.854
1766048400,155.855,155.953,155.804,155.93
1766052000,155.93,155.978,155.852,155.86
1766055600,155.86,155.873,155.722,155.792
1766059200,155.791,155.864,155.741,155.822
1766062800,155.824,155.836,155.38,155.594
1766066400,155.592,155.605,155.284,155.492
1766070000,155.493,155.695,155.444,155.524
1766073600,155.524,155.58,155.364,155.532
1766077200,155.532,155.69,155.529,155.642
1766080800,155.638,155.71,155.58,155.636
1766084400,155.636,155.667,155.494,155.516
1766088000,155.516,155.633,155.503,155.616
1766091600,155.615,155.636,155.552,155.562
1766095200,155.531,155.568,155.502,155.558
1766098800,155.558,155.646,155.52,155.582
1766102400,155.582,155.786,155.56,155.754
1766106000,155.753,155.795,155.692,155.741
1766109600,155.742,155.855,155.684,155.832
1766113200,155.832,156.18,155.589,155.876
1766116800,155.875,156.09,155.732,156.068
1766120400,156.068,156.072,155.887,155.995
1766124000,155.996,156.446,155.85,156.014
1766127600,156.014,156.744,155.964,156.734
1766131200,156.734,156.94,156.722,156.934
1766134800,156.934,157.214,156.853,157.202
1766138400,157.203,157.402,157.133,157.32
1766142000,157.32,157.38,157.235,157.319
1766145600,157.32,157.352,157.186,157.244
1766149200,157.242,157.382,157.209,157.326
1766152800,157.325,157.426,156.932,157.421
1766156400,157.422,157.492,157.356,157.475
1766160000,157.475,157.49,157.406,157.43
1766163600,157.431,157.67,157.414,157.438
1766167200,157.438,157.531,157.402,157.522
1766170800,157.523,157.59,157.502,157.53
1766174400,157.532,157.702,157.477,157.692
1766178000,157.692,157.786,157.638,157.723
1766354400,157.547,157.674,157.442,157.492
1766358000,157.493,157.714,157.49,157.628
1766361600,157.63,157.663,157.514,157.56
1766365200,157.557,157.572,157.255,157.294
1766368800,157.293,157.426,157.23,157.424
1766372400,157.424,157.472,157.277,157.332
1766376000,157.333,157.365,157.264,157.313
1766379600,157.312,157.392,157.265,157.364
1766383200,157.365,157.436,157.27,157.345
1766386800,157.346,157.566,157.312,157.494
1766390400,157.495,157.552,157.374,157.546
1766394000,157.548,157.571,157.418,157.462
1766397600,157.462,157.466,157.354,157.396
1766401200,157.396,157.428,157.338,157.414
1766404800,157.415,157.434,157.358,157.398
1766408400,157.398,157.398,156.872,157.188
1766412000,157.188,157.224,156.908,157.018
1766415600,157.019,157.122,156.914,156.976
1766419200,156.977,157.046,156.86,156.938
1766422800,156.942,156.944,156.705,156.848
1766426400,156.848,157.024,156.848,156.949
1766430000,156.95,157.034,156.888,156.902
1766433600,156.903,157.007,156.902,156.992
1766437200,156.991,157.048,156.976,157.036
1766440800,157.018,157.051,156.974,157.03
1766444400,157.022,157.026,156.822,156.92
1766448000,156.918,156.928,156.604,156.616
1766451600,156.616,156.656,156.422,156.462
1766455200,156.462,156.484,156.276,156.352
1766458800,156.353,156.353,156.19,156.191
1766462400,156.19,156.19,155.961,155.994
1766466000,155.994,156.078,155.914,156.012
1766469600,156.012,156.189,155.996,156.116
1766473200,156.116,156.174,155.95,156.076
1766476800,156.074,156.116,155.953,155.957
1766480400,155.957,156.022,155.65,155.97
1766484000,155.969,156.046,155.866,155.923
1766487600,155.924,156.035,155.875,155.974
1766491200,155.973,156.034,155.874,156.024
1766494800,156.025,156.366,155.952,156.341
1766498400,156.34,156.545,156.336,156.408
1766502000,156.408,156.45,156.208,156.39
1766505600,156.39,156.436,156.303,156.338
1766509200,156.336,156.351,156.253,156.298
1766512800,156.296,156.344,156.228,156.234
1766516400,156.231,156.253,156.181,156.195
1766520000,156.196,156.314,156.18,156.304
1766523600,156.304,156.32,156.196,156.235
1766527200,156.258,156.264,156.178,156.191
1766530800,156.192,156.283,156.096,156.174
1766534400,156.174,156.282,155.978,155.99
1766538000,155.991,156.154,155.601,155.656
1766541600,155.655,155.745,155.555,155.743
1766545200,155.74,155.994,155.74,155.982
1766548800,155.983,156.068,155.802,155.838
1766552400,155.838,155.845,155.746,155.798
1766556000,155.798,155.8,155.662,155.736
1766559600,155.735,155.872,155.707,155.83
1766563200,155.83,155.972,155.751,155.756
1766566800,155.754,155.882,155.688,155.835
1766570400,155.836,155.972,155.82,155.937
1766574000,155.936,155.974,155.868,155.928
1766577600,155.929,156.046,155.878,156.045
1766581200,156.044,156.072,155.972,156.012
1766584800,156.012,156.036,155.68,155.75
1766588400,155.75,155.903,155.726,155.818
1766592000,155.818,155.923,155.754,155.836
1766595600,155.836,156.026,155.826,155.972
1766599200,155.972,156.02,155.945,155.968
1766602800,155.967,155.984,155.836,155.886
1766606400,155.887,155.952,155.872,155.952
1766610000,155.952,155.968,155.868,155.952
1766700000,155.94,155.948,155.846,155.896
1766703600,155.896,156.132,155.752,156.108
1766707200,156.108,156.492,156.106,156.411
1766710800,156.412,156.444,156.168,156.284
1766714400,156.284,156.31,156.171,156.226
1766718000,156.226,156.257,156.046,156.056
1766721600,156.056,156.191,155.988,156.167
1766725200,156.166,156.284,156.092,156.206
1766728800,156.206,156.32,156.092,156.284
1766732400,156.284,156.446,156.218,156.374
1766736000,156.374,156.45,156.3,156.336
1766739600,156.337,156.474,156.317,156.462
1766743200,156.464,156.47,156.362,156.402
1766746800,156.402,156.424,156.324,156.404
1766750400,156.403,156.49,156.396,156.42
1766754000,156.417,156.444,156.228,156.324
1766757600,156.324,156.486,156.276,156.454
1766761200,156.454,156.536,156.312,156.426
1766764800,156.426,156.656,156.37,156.636
1766768400,156.636,156.73,156.555,156.571
1766772000,156.57,156.589,156.439,156.546
1766775600,156.545,156.596,156.504,156.505
1766779200,156.504,156.534,156.445,156.496
1766782800,156.497,156.61,156.492,156.569
1766959200,156.526,156.577,156.488,156.5
1766962800,156.505,156.542,156.406,156.485
1766966400,156.483,156.483,156.056,156.28
1766970000,156.28,156.376,156.192,156.314
1766973600,156.32,156.512,156.302,156.433
1766977200,156.432,156.446,156.322,156.38
1766980800,156.38,156.473,156.248,156.374
1766984400,156.376,156.4,156.244,156.309
1766988000,156.312,156.324,156.172,156.188
1766991600,156.188,156.243,156.052,156.081
1766995200,156.082,156.312,156.078,156.278
1766998800,156.28,156.4,156.11,156.326
1767002400,156.328,156.347,156.208,156.331
1767006000,156.332,156.414,156.288,156.4
1767009600,156.401,156.424,156.31,156.334
1767013200,156.333,156.368,156.194,156.233
1767016800,156.232,156.242,156.012,156.147
1767020400,156.146,156.292,155.916,155.936
1767024000,155.934,156.118,155.931,156.106
1767027600,156.107,156.218,156.067,156.185
1767031200,156.186,156.226,156.122,156.222
1767034800,156.223,156.249,156.008,156.036
1767038400,156.037,156.084,155.987,156.07
1767042000,156.067,156.09,156.003,156.042
1767045600,156.069,156.094,155.999,156.044
1767049200,156.042,156.136,155.956,155.992
1767052800,155.994,156.329,155.926,156.26
1767056400,156.261,156.328,156.215,156.226
1767060000,156.224,156.34,156.157,156.306
1767063600,156.306,156.334,156.216,156.27
1767067200,156.272,156.286,156.052,156.082
1767070800,156.082,156.104,156.012,156.043
1767074400,156.042,156.099,155.94,156.04
1767078000,156.04,156.105,155.92,155.982
1767081600,155.978,156.029,155.856,155.983
1767085200,155.983,156.01,155.869,155.923
1767088800,155.926,155.93,155.744,155.853
1767092400,155.854,155.948,155.827,155.894
1767096000,155.892,156.012,155.886,155.952
1767099600,155.952,156.214,155.948,156.196
