t,o,h,l,c
1765357200,1.38488,1.38576,1.3847,1.38557
1765360800,1.38558,1.38569,1.38494,1.38542
1765364400,1.38541,1.3855,1.38471,1.38474
1765368000,1.38472,1.38488,1.3838,1.38418
1765371600,1.38419,1.3853,1.3841,1.38447
1765375200,1.38446,1.38724,1.38388,1.38627
1765378800,1.38628,1.38648,1.38514,1.38515
1765382400,1.38516,1.38566,1.38348,1.38356
1765386000,1.38356,1.38376,1.38258,1.38307
1765389600,1.3831,1.38383,1.38265,1.38328
1765393200,1.38332,1.3841,1.38083,1.38106
1765396800,1.38106,1.38149,1.3784,1.37953
1765400400,1.37956,1.38004,1.37916,1.37938
1765404000,1.37918,1.37964,1.37914,1.37954
1765407600,1.37956,1.37962,1.37898,1.37898
1765411200,1.37898,1.37992,1.3785,1.37989
1765414800,1.3799,1.37994,1.37934,1.3795
1765418400,1.3795,1.38078,1.37924,1.38069
1765422000,1.38069,1.38166,1.38057,1.38142
1765425600,1.38141,1.38178,1.3811,1.38158
1765429200,1.3816,1.38172,1.38124,1.3813
1765432800,1.3813,1.38204,1.38124,1.38176
1765436400,1.38177,1.3823,1.38144,1.38218
1765440000,1.38218,1.38218,1.38074,1.38084
1765443600,1.38084,1.38174,1.3807,1.38076
1765447200,1.38074,1.3811,1.38042,1.3805
1765450800,1.3805,1.3806,1.37934,1.37962
1765454400,1.3796,1.38034,1.37939,1.37957
1765458000,1.37956,1.38,1.37811,1.3787
1765461600,1.37868,1.3788,1.37652,1.37751
1765465200,1.37752,1.37774,1.37574,1.37598
1765468800,1.37598,1.37808,1.3757,1.37694
1765472400,1.37696,1.37774,1.37633,1.3773
1765476000,1.3773,1.37756,1.37682,1.37706
1765479600,1.37705,1.37812,1.37702,1.37791
1765483200,1.37792,1.37798,1.37697,1.37702
1765486800,1.37704,1.37748,1.37671,1.37708
1765490400,1.37716,1.3779,1.37702,1.37751
1765494000,1.3775,1.37772,1.37718,1.37762
1765497600,1.37762,1.37762,1.3769,1.37728
1765501200,1.37729,1.37746,1.37674,1.37734
1765504800,1.37736,1.37762,1.3771,1.37749
1765508400,1.37748,1.37762,1.37721,1.37756
1765512000,1.37756,1.37793,1.37754,1.37768
1765515600,1.37768,1.3777,1.3772,1.37724
1765519200,1.37724,1.37756,1.3769,1.37722
1765522800,1.37724,1.37754,1.37647,1.37658
1765526400,1.37658,1.37672,1.37552,1.37597
1765530000,1.37598,1.37654,1.3758,1.37612
1765533600,1.37613,1.3764,1.37581,1.37586
1765537200,1.37586,1.37624,1.3756,1.37566
1765540800,1.37566,1.37699,1.37552,1.37627
1765544400,1.37628,1.37641,1.37544,1.37615
1765548000,1.37616,1.37633,1.37536,1.37564
1765551600,1.37566,1.37842,1.37566,1.37813
1765555200,1.37816,1.3795,1.378,1.37848
1765558800,1.37847,1.37852,1.3765,1.37665
1765562400,1.37664,1.377,1.37604,1.37692
1765566000,1.3769,1.37747,1.37654,1.37666
1765569600,1.37666,1.3772,1.37626,1.37664
1765573200,1.37664,1.37716,1.37634,1.37708
1765749600,1.37698,1.37749,1.37661,1.37741
1765753200,1.37742,1.37742,1.37653,1.37684
1765756800,1.37685,1.37716,1.37646,1.37653
1765760400,1.37652,1.37701,1.37606,1.3761
1765764000,1.37609,1.37684,1.37602,1.37646
1765767600,1.37644,1.377,1.37616,1.37676
1765771200,1.37676,1.37706,1.37652,1.37661
1765774800,1.37661,1.37673,1.3764,1.3765
1765778400,1.37652,1.37686,1.37638,1.37643
1765782000,1.37644,1.37648,1.376,1.37629
1765785600,1.37627,1.37679,1.37585,1.37614
1765789200,1.37615,1.37671,1.37578,1.37654
1765792800,1.37656,1.3777,1.37638,1.37742
1765796400,1.37742,1.37771,1.3764,1.3766
1765800000,1.37659,1.37672,1.37518,1.3752
1765803600,1.37518,1.37691,1.3748,1.3769
1765807200,1.3769,1.37724,1.3757,1.37578
1765810800,1.37578,1.37725,1.3755,1.37617
1765814400,1.37618,1.37743,1.37605,1.37662
1765818000,1.37664,1.37762,1.37643,1.3775
1765821600,1.3775,1.37886,1.37735,1.37806
1765825200,1.37806,1.37828,1.37718,1.37725
1765828800,1.37724,1.37752,1.37702,1.37704
1765832400,1.37706,1.37738,1.3767,1.37673
1765836000,1.37698,1.37738,1.37684,1.377
1765839600,1.377,1.3771,1.37666,1.37698
1765843200,1.37696,1.37772,1.37669,1.37747
1765846800,1.37748,1.37814,1.37724,1.37782
1765850400,1.3778,1.37799,1.37716,1.3772
1765854000,1.3772,1.37736,1.37682,1.377
1765857600,1.377,1.37704,1.3766,1.37679
1765861200,1.3768,1.37706,1.37651,1.377
1765864800,1.37702,1.37728,1.37651,1.37654
1765868400,1.37655,1.3772,1.37644,1.37704
1765872000,1.37702,1.37751,1.3764,1.37744
1765875600,1.37744,1.37785,1.3769,1.37756
1765879200,1.37756,1.37798,1.37716,1.37771
1765882800,1.37771,1.37802,1.37742,1.37744
1765886400,1.37742,1.37742,1.376,1.37601
1765890000,1.376,1.37646,1.37378,1.37536
1765893600,1.37537,1.37544,1.373,1.37368
1765897200,1.37366,1.3764,1.37356,1.3748
1765900800,1.37481,1.37556,1.37452,1.37504
1765904400,1.37504,1.37506,1.37362,1.37461
1765908000,1.37462,1.37575,1.37377,1.37422
1765911600,1.37424,1.37622,1.37417,1.37456
1765915200,1.37459,1.37564,1.37426,1.37558
1765918800,1.37559,1.3761,1.37501,1.37528
1765922400,1.3756,1.37574,1.37534,1.3756
1765926000,1.37559,1.37574,1.37527,1.37558
1765929600,1.37558,1.37642,1.37558,1.3764
1765933200,1.37636,1.37636,1.3759,1.37596
1765936800,1.37595,1.37704,1.37593,1.37686
1765940400,1.37686,1.37714,1.37646,1.37671
1765944000,1.37672,1.37764,1.3767,1.37758
1765947600,1.37758,1.37781,1.37725,1.37751
1765951200,1.37749,1.37815,1.37728,1.37807
1765954800,1.37805,1.37846,1.37764,1.37811
1765958400,1.37812,1.37859,1.37738,1.37754
1765962000,1.37755,1.37772,1.37715,1.37772
1765965600,1.37773,1.37848,1.37742,1.3783
1765969200,1.37828,1.37958,1.37818,1.37906
1765972800,1.37906,1.37917,1.37844,1.37848
1765976400,1.37848,1.37922,1.37768,1.37773
1765980000,1.37776,1.37812,1.37696,1.37724
1765983600,1.37724,1.37849,1.37622,1.37806
1765987200,1.37807,1.37982,1.37741,1.37944
1765990800,1.37942,1.37948,1.37827,1.37832
1765994400,1.37834,1.37924,1.37788,1.37904
1765998000,1.37904,1.37918,1.37851,1.37892
1766001600,1.37894,1.379,1.37758,1.37832
1766005200,1.37832,1.3789,1.37815,1.37876
1766008800,1.37846,1.37878,1.37844,1.3786
1766012400,1.37862,1.37866,1.37821,1.37841
1766016000,1.3784,1.37867,1.37829,1.37832
1766019600,1.37834,1.37892,1.37785,1.37866
1766023200,1.37864,1.37884,1.37815,1.37865
1766026800,1.37866,1.37876,1.37834,1.37863
1766030400,1.37864,1.37869,1.37798,1.37798
